 ,secID,ticker,exchangeCD,secShortName,secFullName,industryVersionCD,industry,industryID,industrySymbol,intoDate,outDate,isNew,industryID1,industryName1,industryID2,industryName2
0,000001.XSHE,1,XSHE,平安银行,平安银行股份有限公司,10303,申万行业分类,10303210101,480101,2014/1/1,2016/1/10,0,1030321,银行,103032101,银行
1,000001.XSHE,1,XSHE,平安银行,平安银行股份有限公司,10303,申万行业分类,10303210101,480101,2016/1/10,,1,1030321,银行,103032101,银行
2,000001.XSHE,1,XSHE,平安银行,平安银行股份有限公司,10303,申万行业分类,10303330101,440101,1991/4/3,2007/7/2,0,1030333,金融服务,103033301,银行
3,000001.XSHE,1,XSHE,平安银行,平安银行股份有限公司,10303,申万行业分类,10303330101,440101,2007/7/2,2008/6/2,0,1030333,金融服务,103033301,银行
4,000001.XSHE,1,XSHE,平安银行,平安银行股份有限公司,10303,申万行业分类,10303330101,440101,2008/6/2,2014/1/1,0,1030333,金融服务,103033301,银行
5,000002.XSHE,2,XSHE,万科A,万科企业股份有限公司,10303,申万行业分类,10303200101,430101,1991/1/29,2007/7/2,0,1030320,房地产,103032001,房地产开发
6,000002.XSHE,2,XSHE,万科A,万科企业股份有限公司,10303,申万行业分类,10303200101,430101,2007/7/2,2008/1/2,0,1030320,房地产,103032001,房地产开发
7,000002.XSHE,2,XSHE,万科A,万科企业股份有限公司,10303,申万行业分类,10303200101,430101,2008/1/2,2008/6/2,0,1030320,房地产,103032001,房地产开发
8,000002.XSHE,2,XSHE,万科A,万科企业股份有限公司,10303,申万行业分类,10303200101,430101,2008/6/2,2015/10/1,0,1030320,房地产,103032001,房地产开发
9,000002.XSHE,2,XSHE,万科A,万科企业股份有限公司,10303,申万行业分类,10303200101,430101,2015/10/1,,1,1030320,房地产,103032001,房地产开发
10,000003.XSHE,3,XSHE,PT金田A,金田实业(集团)股份有限公司,10303,申万行业分类,10303280101,510101,1991/4/14,2007/7/2,0,1030328,综合,103032801,综合
11,000003.XSHE,3,XSHE,PT金田A,金田实业(集团)股份有限公司,10303,申万行业分类,10303280101,510101,2007/7/2,,1,1030328,综合,103032801,综合
12,000004.XSHE,4,XSHE,国农科技,深圳中国农大科技股份有限公司,10303,申万行业分类,10303170301,370301,2001/9/1,2007/7/2,0,1030317,医药生物,103031703,生物制品
13,000004.XSHE,4,XSHE,国农科技,深圳中国农大科技股份有限公司,10303,申万行业分类,10303170301,370301,2009/1/1,2009/6/1,0,1030317,医药生物,103031703,生物制品
14,000004.XSHE,4,XSHE,国农科技,深圳中国农大科技股份有限公司,10303,申万行业分类,10303170301,370301,2009/6/1,,1,1030317,医药生物,103031703,生物制品
15,000004.XSHE,4,XSHE,国农科技,深圳中国农大科技股份有限公司,10303,申万行业分类,10303190301,420301,1989/12/23,2001/9/1,0,1030319,交通运输,103031903,公交
16,000004.XSHE,4,XSHE,国农科技,深圳中国农大科技股份有限公司,10303,申万行业分类,10303200101,430101,2007/7/2,2008/6/2,0,1030320,房地产,103032001,房地产开发
17,000004.XSHE,4,XSHE,国农科技,深圳中国农大科技股份有限公司,10303,申万行业分类,10303200101,430101,2008/6/2,2009/1/1,0,1030320,房地产,103032001,房地产开发
18,000005.XSHE,5,XSHE,世纪星源,深圳世纪星源股份有限公司,10303,申万行业分类,10303180401,410401,2017/6/29,,1,1030318,公用事业,103031804,环保工程及服务
19,000005.XSHE,5,XSHE,世纪星源,深圳世纪星源股份有限公司,10303,申万行业分类,10303200101,430101,1990/12/10,2007/7/2,0,1030320,房地产,103032001,房地产开发
20,000005.XSHE,5,XSHE,世纪星源,深圳世纪星源股份有限公司,10303,申万行业分类,10303200101,430101,2007/7/2,2008/1/2,0,1030320,房地产,103032001,房地产开发
21,000005.XSHE,5,XSHE,世纪星源,深圳世纪星源股份有限公司,10303,申万行业分类,10303200101,430101,2008/1/2,2008/6/2,0,1030320,房地产,103032001,房地产开发
22,000005.XSHE,5,XSHE,世纪星源,深圳世纪星源股份有限公司,10303,申万行业分类,10303200101,430101,2008/6/2,2017/6/29,0,1030320,房地产,103032001,房地产开发
23,000006.XSHE,6,XSHE,深振业A,深圳市振业(集团)股份有限公司,10303,申万行业分类,10303200101,430101,1992/4/27,2007/7/2,0,1030320,房地产,103032001,房地产开发
24,000006.XSHE,6,XSHE,深振业A,深圳市振业(集团)股份有限公司,10303,申万行业分类,10303200101,430101,2007/7/2,2008/1/2,0,1030320,房地产,103032001,房地产开发
25,000006.XSHE,6,XSHE,深振业A,深圳市振业(集团)股份有限公司,10303,申万行业分类,10303200101,430101,2008/1/2,2008/6/2,0,1030320,房地产,103032001,房地产开发
26,000006.XSHE,6,XSHE,深振业A,深圳市振业(集团)股份有限公司,10303,申万行业分类,10303200101,430101,2008/6/2,2015/10/1,0,1030320,房地产,103032001,房地产开发
27,000006.XSHE,6,XSHE,深振业A,深圳市振业(集团)股份有限公司,10303,申万行业分类,10303200101,430101,2015/10/1,,1,1030320,房地产,103032001,房地产开发
28,000007.XSHE,7,XSHE,全新好,深圳市全新好股份有限公司,10303,申万行业分类,10303050304,240504,2014/1/1,2014/7/1,0,1030305,有色金属,103030503,稀有金属
29,000007.XSHE,7,XSHE,全新好,深圳市全新好股份有限公司,10303,申万行业分类,10303050505,240106,2013/7/1,2014/1/1,0,1030305,有色金属,103030505,有色金属冶炼与加工
30,000007.XSHE,7,XSHE,全新好,深圳市全新好股份有限公司,10303,申万行业分类,10303130202,330202,1992/4/13,2006/9/1,0,1030313,家用电器,103031302,视听器材
